Fragmento,Problema,Página,Línea,Bloque
Maruja (2008),"""Maruja"" no es el apellido de la autora, sino el nombre. Se debería escribir el apellido, Barrig, en lugar de ""Maruja"". ",28,1 (pie),a
"(Oficina del Defensor del Pueblo, 1998, 1999, 2002)","La bibliografía incluye la Defensoría del Pueblo en la lista, que aquí viene citada como ""Oficina del Defensor del Pueblo"". ",36,11,a-c
"(DHS 1991/92, 2000, Gribble et al., 2007).","DHS no es el autor del texto. El autor es el INEI, que sí aparece en la bibliografía. ",36,17-18,d-b
"(Banco Mundial, 2010)",,39,24,b
"(Banco Mundial, 2010)",,40,14,d
"(Banco Mundial, 2015)",,42,4,b
"(Dupas y Robinson, 2013)",,42,31,c
"(Berg y Zia, 2013)",,43,8,b
"(Banco Mundial, 2015)",,43,10-11,d-a
"(Banco Mundial, 2015)",,43,23,a
"(Mosqueira, 1995)",,46,23,d
"(Miller, 2005)",,50,27,b
"(CICRED, 1974)","En la bibliografía, la República del Perú es el autor de esta referencia. Sin embargo, el autor de esta cita y en la bibliografía debería ser la Oficina Nacional de Estadística y Censos. ",51,21,b
(Donayre 2012),"Falta coma. Faltaría añadir ""et al"", ya que son varios autores. ",52,15,b
(Donayre 2012),"Falta coma. Faltaría añadir ""et al"", ya que son varios autores. ",53,13,c
"(Rousseau, 2007)",El año señalado en la bibliografía es 2006,53,16,d
"(Velarde, 2011)",,55,3,b
"(Webb, 1973)",,55,19-20,d-a
"(INEI, 1995)","Sí aparece en la bibliografía, pero no se puede ubicar fácilmente por una posible errata de márgenes. ",56,18,c
"(CUANTO UNICEF 1993, UNICEF 1995)","Esta referencia une dos fuentes que tratan temas distintos. Por un lado, CUANTO UNICEF 1993, que, en la bibliografía, aparece listada con el año 1991 cuando el verdadero año de publicación es 1993. El supuesto contenido del texto proviene de 1991. Por otro lado, UNICEF 1995, que, en la bibliografía, está bien referenciada. / Sin embargo, ambas fuentes, CUANTO UNICEF 1993 y UNICEF 1995, parecen haber sido copiadas de la bibliografía del ""Programa Nacional de Salud Reproductiva y Planificación Familair 1996-2000"".  ",56,27,a-c
"(INEI, 1995)","Sí aparece en la bibliografía, pero no se puede ubicar fácilmente por una posible errata de márgenes. ",57,4,b
"(Fort, 1989)",,57,16,b
"(Guezmes, Palomino, Ramos, 2002)","Esta cita debería aparecer como ""Guezmes et al"" para mantener la coherencia formal. ",58,1-2 (pie),d-b
"(Seinfield, 2011)",,59,8,a
"(INEI, 1993)","Sí aparece en la bibliografía, pero no se puede ubicar fácilmente por una posible errata de márgenes. ",61,4,d
