#,Problema,Página,Bloque
Gráfico 1,"Este gráfico no se menciona en el trabajo académico de María Cecilia Villegas, ""La verdad de una mentira"". Además, las columnas están tituladas como ""Series 1"" y un periodo temporal. ""Series 1"" parece ser una errata. ",160,1
Gráfico 2,"Las columnas están tituladas como ""Series 1"" y un periodo temporal. ""Series 1"" parece ser una errata.",160,2
Gráfico 3,"Este gráfico no se menciona en el trabajo académico de María Cecilia Villegas, ""La verdad de una mentira"". Además, el gráfico carece de título. Sobre la procedencia de los datos, no señala el año de publicación ni el título del documento o informe. Tampoco especifica con precisión a qué concepto hacen referencia los porcentajes de las columnas, ni la evolución temporal de los datos. ",161,1
Gráfico 4,"Este gráfico no se menciona en el trabajo académico de María Cecilia Villegas, ""La verdad de una mentira"". Además, el gráfico carece de título. Las magnitudes carecen de unidad y tampoco se señala a qué periodo temporal pertencen. No señala el año de publicación de los datos, ni el documento consultado. ",161,2
Gráfico 5,"Este gráfico no se menciona en el trabajo académico de María Cecilia Villegas, ""La verdad de una mentira"". No especifica la unidad de las magnitudes, ni a qué geografía se refieren y los datos son imprecisos. Finalmente, la fuente carece de título. Se desconoce la geografía en donde se ubican estos datos. ",162,1
Gráfico 6,"Este gráfico carece de título. Tampoco especifica en qué periodo temporal se enmarcan estos datos. Asímismo, los datos carecen de una evolución temporal y carecen de una unidad de medición. Finalmente, en la fuente no se señala el título del documento u obra. ",162,2
Gráfico 7,"El pixelado sugiere que es una imagen copiada y pegada desde la fuente, si bien no se señala que la elaboración pertenece a CIDE ni sobre qué informe se consultaron estos datos. La pobreza extrema viene presentada en forma de porcentaje y la muerte materna viene presentada en forma de ""razón"" que podría aludir también a un porcentaje, pero la utilización de dos términos diferentes genera confusión. ",163,1
Gráfico 8,"En este gráfico no se señala el periodo temporal en el que se enmarcan los datos. Algunos datos están redondeados al alza (sin decimales) y otros no. La gradación de grises del gráfico propicia la confusión. La categoría ""Policlínico/Centro/Posta"" carece de dato. ",163,2
Gráfico 9,"Este gráfico no se menciona en el trabajo académico de María Cecilia Villegas, ""La verdad de una mentira"". La evolución temporal señalada en el gráfico no es coherente. Los porcentajes de este gráfico no precisan a qué o quién hacen referencia: ¿población total, mujeres, usuarias?",164,1
Gráfico 10,La evolución temporal señalada en este gráfico no es coherente. Falta la unidad de los datos. ,164,2
