Fragmento,Problema,Página,Línea,Bloque
"1 En «Voces de Mujeres Ancash, Género y Salud Reproductiva» Emilia Calisaya, Manuela Ramos 2004",El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,11,1-2,a-b
1 La República 11 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,24,1,a-b
2 La República 9 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,24,2,a-b
3 La República 9 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,24,3,a-b
4 La República 13 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,25,1,a-b
5 La República 14 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,25,2,a-b
6 El Comercio 15 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,25,3,a-b
7 La República 14 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,25,4,a-b
8 El Comercio 9 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,25,5,a-b
9 La República 16 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,26,1,a-b
10 La República 16 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,26,2,a-b
11 La República 16 de setiembre de 1995.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,26,3,a-b
"12 De acuerdo a la denuncia presentada por las organizaciones de derechos humanos DEMUS, CLADEM y APRODEH a la CIDH el 15 de junio de 1999.","El uso de este pie es aportar una explicación. Es posible que este pie haga referencia al documento número 25 de la bibliografía, pero no lo especifica. ",27,1-3,a-a
13 Ver Maruja (2008).,"El uso de este pie es aportar una referencia bibliográfica. Sin embargo, no cita o cita erróneamente el apellido del autor o autora. ",28,1,a
"14 Informe Defensorial Nº 69, Defensoría del Pueblo, 2002.",El uso de este pie es aportar una referencia bibliográfica. ,29,1,a-c
15 http://elpais.com/diario/2002/07/25internacional/1027548004_850215.html,El uso de este pie es aportar una referencia bibliográfica. El enlace adjunto no funciona y la fuente citada no está incluida en la bibliografía. ,30,1-2,a-c
16 La República 29 de noviembre del 2012.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,31,1,a-b
17 El Comercio 6 de noviembre del 2015.,El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,31,2,a-b
"1 La petición es presentada el 15 de junio de 1999 por las organizaciones no gubernamentales Estudio ara la Defensa de la Mujer (DEMUS), el Comité de América Latina y el Caribe par la Defensa de los Derechos Humanos de la Mujer (CLADEM) y la Asociación Pro Derechos Humanos (APRODEH), las cuales acreditaron posteriormente como copeticionarias al Centro Legal para Derechos Reproductivos y Políticas Públicas (CRLP) y al Centro para la Justicia y el Derecho Internacional (CEJIL).","El uso de este pie es aportar una explicación. Es posible que este pie haga referencia al documento número 25 de la bibliografía, pero no lo especifica. ",34,1-8,a-b
"1 En el 2001, en un estudio basado en la violencia de género se encontró que 51% de todas las mujeres en Lima y el 69% en Cusco habían sido agredidas física o sexualmente por sus parejas. Con respecto a la violencia sexual, 23% de las mujeres en Lima y 47% en Cusco han sufrido de violencia sexual por una pareja íntima (Guezmes, Palomino, Ramos, 2002).",El uso de este pie es aportar una explicación.,"57, 58",1-4 (57) 1-2 (58),a-b
"2 Para el estudio se toma el Censo Nacional de 1993, IX de Población y VI de Vivienda, al ser el inmediatamente anterior al diseño y entrada en vigencia del Programa.",El uso de este pie es aportar una explicación.,59,1-3,a-b
"3 La necesidad insatisfecha de acceso a métodos anticonceptivos refleja el porcentaje de mujeres que quisiera controlar su fertilidad ya sea espaciándola o deteniéndola, a través del uso de un método anticonceptivo moderno, pero no tienen acceso a ellos. La necesidad insatisfecha se mide a través de la Encuesta Demográfica y de Salud. Esta estimación resulta de gran utilidad par a los programas de planificación familiar, porque les ayuda a tener una idea más clara de la magnitud y de las características del mercado potencial de anticonceptivos. En cuanto a la definición de políticas, esta información les permite a los analistas proyectar cuánto declinaría la tasa de fecundidad si se pudiera satisfacer esta necesidad adicional de planificación familiar. Dentro de las causas identificadas se encuentran: oposición de la pareja al uso de anticonceptivos, temor a efectos secundarios, dificultad en el acceso, falta de información, subestimación de riesgo de embarazo.","El uso de este pie es aportar una explicación. Esta cita puede ser problemática y no está correctamente referenciada. Esta es una definición simplista, no especializada y sin fuente. ",60,1-15,a-b
"1 Código Penal del Perú, artículo 120.",El uso de este pie es aportar una referencia bibliográfica. La fuente citada no está incluida en la bibliografía,67,1,a-b
2 Agencia es definido por el Banco Mundial como la capacidad de tomar decisiones para lograr los resultados esperados.,"El uso de este pie es aportar una definición. La definición es simple, no especializada y carece de fuente. ",68,1-2,a-c
3 PROFAMILIA es una organización privada sin ánimo de lucro que promueve el respeto y el ejercicio de los derechos sexuales y derechos reproductivos de toda la población colombiana.,El uso de este pie es aportar una definición. Aquí nos encontramos ante un caso de plagio. ,70,1-3,a-c
"1 El Programa de Salud Reproductiva y Planificación Familiar 1996-2000. Ministerio de Salud, Lima, enero, 1996.",El uso de este pie es aportar una referencia bibliográfica. ,74,1-2,a-c
2 El Perú es signatario.,El uso de este pie es aportar una explicación. ,75,1,a
"3 Capítulo 2, consejería, pagina 8 del Manual de normas y procedimientos administrativos para actividades de anticoncepción quirúrgica voluntaria , aprobado por Directiva DGSP-DPS-PF 001-97.",El uso de este pie es aportar una referencia bibliográfica. ,78,1-3,a-d
"4 “Características de los usuarios/os relacionados con el arrepentimiento después de la AQV” Página 10 del Manual de Normas y Procedimientos Administrativos para Actividades de Anticoncepción Quirúrgica Voluntaria, aprobado por Directiva DGSP-DPS-PF 001-97",El uso de este pie es aportar una referencia bibliográfica. ,80,1-4,a-d
5 El proyecto ReproSalud fue renovado en el 2001 por un periodo adicional.,El uso de este pie es aportar una explicación. ,81,1-2,a-a
"1 Véase Conferencia Episcopal Peruana, mensaje de los obispos del Perú sobre la política de población, Lima 23 de enero de 1998.",El uso de este pie es aportar una referencia bibliográfica. ,86,1-2,a-d
"2 Las ligaduras de trompas realizadas en diversos centros de salud, que no consideran las realizadas por establecimientos de sala seguridad social fueron, en 1996, 81762; en 1997, 109689, y en 1998, 25995 (Barrig, 2016 citando a Azaña et al., 1999)","El uso de este pie es aportar una cita. Sin embargo, no se ha elaborado adecuadamente esta cita. La fuente no está en la bibliografía. ",87,1-4,a-c
"3 La Defensoría el Pueblo, siendo defensor del pueblo el doctor Jorge Santistevan de Noriega realizó cuatro informes sobre el Programa. Los informes fueron elaborados por un equipo liderado por la doctora Rocío Villanueva Flores, defensora especializada en los derechos de la Mujer. Informe Defensorial N°7 «Anticoncepción quirúrgica voluntaria I. Casos investigados por la Defensoría del Pueblo», publicado el 20 de enero de 1998. Informe Defensorial N°25, «Observaciones a la tercera edición del Manual de normas y procedimientos para actividades de anticoncepción quirúrgica voluntaria», publicado el 3 de marzo de 1999. Informe Defensorial N°27 «La aplicación de la anticoncepción quirúrgica y los derechos reproductivos II», publicado el 3 de marzo de 1999. Informe Defensorial N°69 «La aplicación de la anticoncepción quirúrgica y los derechos reproductivos III», publicado en 2002.",El uso de este pie es aportar una explicación. Existe un error en el contenido: los años de los informes son incorrectos. ,91,1-15,a-d
"4 El manual tuvo tres ediciones. La segunda y tercera edición incluyeron las recomendaciones del defensor del pueblo. La primera edición fue la Directiva DGSP-DSP-PF-N° 001-97 30 de enero 1997 Manual de Normas y procedimientos para Actividades de AQV. La segunda edición fue la Resolución Directorial N°001-DGSP-98 6 de marzo de 1998. La tercera edición fue la Resolución Directorial N°019-DGSP, 10 diciembre de 1998.",El uso de este pie es aportar una explicación. ,92-93,1-3,a-b
5 La oficina del defensor del pueblo en un momento tuvo 52 casos adicionales bajo investigación.,"El uso de este pie es aportar una explicación. Explicación muy simple, no especializada y sin fuente. ",94,1-2,a-b
6 Se han producido tres ediciones del Manual de reglas y procedimientos para el AQV. Cada edición incluyó un modelo diferente de consentimiento informado.,El uso de este pie es aportar una explicación. ,94,3-5,a-b
7 El presidente Valentín Paniagua se mantuvo en el cargo desde noviembre de 200o hasta julio del 2001 y el presidente Alejandro Toledo asumió el cargo en julio del 2001.,El uso de este pie es aportar una explicación. ,94,6-8,a-b
"8 En el Informe Defensorial N°7, “La anticoncepción quirúrgica voluntaria I”, cuyo objetivo según el mismo informe fue: “Pretendemos contribuir a mejorar la aplicación del Programa de Salud Reproductiva y Planificación Familiar 1996-2000 y a garantizar el respeto a los derechos fundamentales involucrados”. El informe fue elaborado por Rocío Villanueva Flores, defensora especializada en los derechos de la mujer, siendo defensor del pueblo el Dr. Jorge Santistevan de Noriega.",El uso de este pie es aportar una explicación y una cita. La cita no se ha elaborado correctamente ya que no se ha agregado la página donde aparece lo citado. ,98,8,a-b
9 «Anticoncepción quirúrgica voluntaria» Informe Defensoría N°7 Defensoría del Pueblo del Perú: http://www.defensoria.gob.pe/,El uso de este pie es aportar una referencia bibliográfica. El enlace adjunto no funciona o no es el correcto.,104,1-2,a-d
10 Comunicado del Colegio Médico del Perú publicado el 4 de junio del 2011 en los diarios La Republica y El Comercio.,El uso de este pie es aportar una referencia bibliográfica. La fuente no está en la bibliografía.,107,1-2,a-c
"1 El Informe Defensorial N°7, utiliza las iniciales de las señoras cuyos casos investigó, con el objetivo de mantener su identidad en reserva.","El uso de este pie es aportar una explicación. La explicación muy simple, no especializada y sin fuente. ",114,1-3,a-a
"2 Alberto Fujimori renuncia a la presidencia de la República del Perú en noviembre del año 2000 desde el exterior. Asume el gobierno de manera interina el presidente del Congreso, el doctor Valentín Paniagua quien convoca a elecciones y en julio del 2001 asume la presidencia Alejandro Toledo.",El uso de este pie es aportar una explicación. ,116,1-5,a-b
"1 Alicia Yamín sostiene que la colaboración de un grupo de congresistas de diferentes partidos fue esencial para que los ministros de Salud, Luis Solari y Fernando Carbone, introdujeran una serie de medidas legislativas alineadas con su agenda religiosa. Así se impuso el «Día del Niño por Nacer» como feriado nacional, siguiendo el cronograma de feriados del Opus Dei. Un proyecto de ley, que buscaba crear una norma para que los proveedores de salud pudieran ejercer objeción de conciencia a todo acto médico que ellos vieran como contrario a su moral o a sus creencias religiosas, logró ser aprobado por la Comisión Permanente de la Salud del Congreso. No obstante ello, debido a la fuerte oposición proveniente de la sociedad civil, el proyecto fue archivado","El uso de este pie es aportar una explicación. Hay un aumento del tamaño de la fuente tipográfica. La fuente no está correctamente señalada en la cita, falta el título y el año de publicación. ",124,1-13,a-c
"2 Luis Solari fue congresista del partido político del presidente Toledo (Perú Posible), así como su primer ministro y ministro de Salud.","El uso de este pie es aportar una explicación. Explicación muy simple, no especializada y sin fuente. ",126,1-2,a-d
"3 El proyecto de ley de Objeción por Conciencia, presentado por el congresista Héctor Chávez Chuchón, buscaba facultar a los proveedores de salud pudieran ejercer objeción de conciencia a todo acto médicos que ellos vieran como contrario a su moral o a sus creencias religiosas. La Comisión Permanente de la Salud del Congreso aprobó el proyecto de ley. Sin embargo, debido a la fuerte oposición de un sector importante de la población y de la sociedad civil, el proyecto fue archivado.",El uso de este pie es aportar una explicación. ,126-127,3-5,a-b
4 http://elpais.com/diario/2002/07/25/internaional/1027548004_850215.html,"El uso de este pie es aportar una referencia bibliográfica. No se ha elaborado adecuadamente la cita: No se colocan datos mínimos como el autor, título, año. / La fuente no está en la bibliografía / El enlace adjunto no funciona o no es el correcto.",127,6-7,a-b
"5 Luis Solari trabajó en el pasado como asesor médico de la Conferencia Episcopal de Obispos. En ese entonces, el doctor Solari invitó al señor Joseph Rees para conseguir el apoyo del Congreso de los EE.UU. para oponerse al Programa de Planificación Familiar peruano. El señor Rees elaboró un informe para el congresista Chris Smith, conocido por su posición a favor de la vida y conservadorismo, que buscaba suspender el apoyo de la USAID para el Programa de Salud Reproductiva y Planificación Familiar peruano (Equivalente a $7.2 millones por año).","El uso de este pie es aportar una explicación. Explicación muy simple, no especializada y sin fuente. ",127,8-16,a-b
6 Estos datos se refieren a mujeres en uniones.,"El uso de este pie es aportar una explicación. Explicación muy simple, no especializada y sin fuente. ",129,1,a-c
7 Los datos del Programa de Salud Reproductiva y Planificación Familiar se obtuvieron del Ministerio de Salud: http://www.minsa.gob.pe/ y DHS 2000 y los datos del 2001 hasta el 2006 fueron obtenidos del INEI (Instituto Nacional de Estadística e Informática del Perú). Compendio Estadístico: http://www1.inei.gob.pe/biblioinei-pub/bancopub/Est/Lib0808/Libro.pdf,"El uso de este pie es aportar una explicación. No se ha elaborado adecuadamente la cita: No se colocan datos mínimos como el autor, título, año. / Las fuentes no están en la bibliografía / El enlace adjunto no funciona o no es el correcto.",130,1-6,a-b
1 ENAHO: Encuesta nacional de Hogares 1993 INEI http://www.inei.gob.pe/,"El uso de este pie es aportar una referencia bibliográfica. No se ha elaborado adecuadamente la cita: No se colocan datos mínimos como el autor, título, año. / Las fuentes no están en la bibliografía / El enlace adjunto no funciona o no es el correcto.",149,1-2,a-a
2 http://www.unfpa.org.pe/infosd/fecundidad/fecundidad_02.htm.,"El uso de este pie es aportar una referencia bibliográfica. No se ha elaborado adecuadamente la cita: No se colocan datos mínimos como el autor, título, año. / Las fuentes no están en la bibliografía / El enlace adjunto no funciona o no es el correcto.",149,3,a-d
3 Peruvian National Institute of Statistics and Informatics: INEI http://www.inei.gob.pe/,"El uso de este pie es aportar una referencia bibliográfica. No se ha elaborado adecuadamente la cita: No se colocan datos mínimos como el autor, título, año. / Las fuentes no están en la bibliografía / El enlace adjunto no funciona o no es el correcto.",149,4-5,a-a
4 Source UNFPA Peru http://www.unfpa.org.pe/infosd/mortalidad_materna/index.htm.,"El uso de este pie es aportar una referencia bibliográfica. No se ha elaborado adecuadamente la cita: No se colocan datos mínimos como el autor, título, año. / Las fuentes no están en la bibliografía / El enlace adjunto no funciona o no es el correcto.",149,6-7,a-a
